Price,51.72,54.07,65.11,52.23,32.76,30.04,31.88,27.41,40.17,54.54,70.25,62.09,72.38
Outcome short,,0.05,0.2,-0.2,-0.37,-0.08,0.06,-0.14,0.47,0.36,0.29,-0.12,0.17
Outcome long,,,0.26,-0.03,-0.5,-0.42,-0.03,-0.09,0.26,0.99,0.75,0.14,0.03
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,,,,88%,116%,141%,126%
Overvaluation (Earnings),,,,,,,,,,,,,
FCF/PRICE,,,,,,,,,,11.1,9.6,6.78,6.37
P/E,,,,,,,, -   , -   ,129.97,30.81,41.46,29.02
Market cap,,,,,,,,0,0,4.24,5.31,6.33,6.52
ROIC,,,,,,,,,,0.54,-7.25,1.89,1.5
Price,-,-,-,-,-,-,-,0,0,44.19,55.46,65.92,67.91
Outcome short,,,,,,,,,,,0.26,0.19,0.03
Outcome long,,,,,,,,,,,,0.49,0.22
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,,,,,,,
Overvaluation (Earnings),,,,,,179%,344%,527%,692%,780%,746%,798%,458%
FCF/PRICE,4.94,3.8,2.75,2.01,4.66,3.49,3.44,3.19,3.84,4.38,3.28,3.77,7.02
P/E,-4.64,-6.67,-9.73,-29.54,92.82,14.98,77.46,78.57,73.23,104.63,56.76,284.7,72.46
Market cap,0.44,0.73,1.43,2.84,2.82,4.34,7.37,13.26,18.25,26.17,36.83,43.04,26.65
ROIC,-41.59,35.37,-5.68,-2.76,-2.08,-0.46,0.79,4.42,1.04,1.86,3.68,0.14,0.09
Price,3.98,6.51,10.1,18.76,18.1,24.41,40.28,71.5,93.74,132.88,185.03,190.75,118.83
Outcome short,,0.64,0.55,0.86,-0.04,0.35,0.65,0.78,0.31,0.42,0.39,0.03,-0.38
Outcome long,,,1.54,1.88,0.79,0.3,1.23,1.93,1.33,0.86,0.97,0.44,-0.36
,,,,,,,,,,,,,
Overvaluation (FCF),159%,142%,126%,78%,95%,102%,92%,71%,142%,170%,136%,177%,166%
Overvaluation (Earnings),126%,114%,104%,72%,67%,83%,68%,82%,172%,267%,145%,199%,160%
FCF/PRICE,107.91,140.08,122.64,228.16,158.97,233.84,226.79,213.68,136.79,127.8,226.48,124.9,113.93
P/E,22.41,17.93,16.18,18.44,-53.04,17.64,8.5,117.78,85.05,25.39,14.97,18.88,20.44
Market cap,26.29,24.2,26.91,17.18,16.36,16.4,16.09,12.69,21.5,26.97,19.45,31.43,34.46
ROIC,1.03,2.21,-18.31,6.3,-7.03,-6.26,-6.47,2.25,1.5,-5.17,-2.52,262.22,8.12
Price,16.36,17.39,19.42,12.91,12.2,12.35,12.32,10.6,17.86,22.09,16.77,29.08,31.88
Outcome short,,0.06,0.12,-0.34,-0.05,0.01,0,-0.14,0.68,0.24,-0.24,0.73,0.1
Outcome long,,,0.19,-0.26,-0.37,-0.04,0.01,-0.14,0.45,1.08,-0.06,0.32,0.9
,,,,,,,,,,,,,
Overvaluation (FCF),150%,139%,128%,148%,91%,99%,127%,112%,125%,146%,128%,124%,104%
Overvaluation (Earnings),170%,169%,149%,172%,95%,107%,139%,126%,135%,159%,136%,124%,104%
FCF/PRICE,25.81,32.21,33.99,30.78,33.32,24.96,21.05,22.4,23.42,16.6,17.79,19.11,25.63
P/E,22.44,21.99,18.62,22.1,13.14,20.07,22.18,17.77,19.98,25.08,22.21,21.87,20.73
Market cap,2.45,3,3.38,5.03,3.22,4.13,6.31,6.75,9.14,12.9,12.7,12.62,10.99
ROIC,0.54,0.56,0.94,0.93,0.69,1.24,1.58,1.24,1.33,1.36,1.89,3.39,9.16
Price,10.57,12.6,14.15,20.82,13.43,17,26.17,28.07,37.57,52.67,52.63,53.59,47.47
Outcome short,,0.19,0.12,0.47,-0.35,0.27,0.54,0.07,0.34,0.4,0,0.02,-0.11
Outcome long,,,0.34,0.65,-0.05,-0.18,0.95,0.65,0.44,0.88,0.4,0.02,-0.1
,,,,,,,,,,,,,
Overvaluation (FCF),157%,171%,171%,148%,39%,61%,80%,77%,90%,140%,113%,81%,79%
Overvaluation (Earnings),204%,206%,210%,185%,62%,105%,195%,177%,,,,135%,110%
FCF/PRICE,1.95,3.2,2.74,2.69,5.01,3.37,4.11,4.35,2.79,2.37,3.81,4.57,3.9
P/E,33.53,28.56,28.11,25.82,"-1,397.33",48.8,35.31,30.85,39.68,33.11,26.5,17.22,17.16
Market cap,2.01,2.72,3.11,3.51,1.72,3.08,5.35,5.17,7.02,11.69,11.84,8.72,8.15
ROIC,0.74,0.6,1.55,0.99,2.29,19.68,0.63,0.94,2.67,2.94,3.28,3.12,3.67
Price,67.74,80.25,105.13,117.46,41.92,67.35,99.22,95.95,130.15,216.88,212.24,159.76,148.59
Outcome short,,0.18,0.31,0.12,-0.64,0.61,0.47,-0.03,0.36,0.67,-0.02,-0.25,-0.07
Outcome long,,,0.55,0.46,-0.6,-0.43,1.37,0.42,0.31,1.26,0.63,-0.26,-0.3
,,,,,,,,,,,,,
Overvaluation (FCF),,162%,122%,80%,91%,81%,75%,86%,108%,129%,149%,138%,115%
Overvaluation (Earnings),182%,174%,128%,111%,126%,110%,99%,107%,127%,146%,169%,145%,112%
FCF/PRICE,64.8,45.59,102.8,133.05,84.61,68.46,119.67,89.61,95.02,69.66,44,53.37,72.49
P/E,35.44,26.91,27.54,16.47,15.32,12.54,11.46,15.89,15.62,17.18,23.77,17.92,14.53
Market cap,80.83,96.52,79.65,50.48,60.46,56.29,51.17,51.09,65.19,86.08,121.12,122.4,108.19
ROIC,6.2,4.5,8.58,14.33,8.98,15.18,-6.5,96.08,5.85,0.94,1.42,-2.93,-4.47
Price,64.15,78.86,68.31,46.44,57.75,56.57,54.9,64.21,86.2,114.08,159.29,162.33,145.43
Outcome short,,0.23,-0.13,-0.32,0.24,-0.02,-0.03,0.17,0.34,0.32,0.4,0.02,-0.1
Outcome long,,,0.06,-0.41,-0.15,0.22,-0.05,0.14,0.57,0.78,0.85,0.42,-0.09
,,,,,,,,,,,,,
Overvaluation (FCF),,95%,106%,124%,45%,68%,82%,70%,84%,146%,144%,101%,109%
Overvaluation (Earnings),,82%,102%,106%,43%,76%,103%,84%,97%,152%,141%,100%,106%
FCF/PRICE,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E, -   ,17.67,21.46,16.26,-146,13.16,13.77,10.96,13.56,17.86,15.93,12.55,15.55
Market cap,0,10.25,13.16,12.55,5.06,9.9,14.2,11.02,12.77,22.1,24.22,18.2,18.09
ROIC,0.04,0.19,0.19,0.11,-0.34,0.21,0.06,0.12,1.43,0.37,0.35,8.05,-1.35
Price,0,41,54.5,55.11,23.36,38.82,57.55,49.64,62.63,115.05,132.25,106.42,114.46
Outcome short,,,0.33,0.01,-0.58,0.66,0.48,-0.14,0.26,0.84,0.15,-0.2,0.08
Outcome long,,,,0.34,-0.57,-0.3,1.46,0.28,0.09,1.32,1.11,-0.08,-0.13
,,,,,,,,,,,,,
Overvaluation (FCF),126%,152%,173%,176%,108%,144%,156%,169%,192%,181%,191%,159%,139%
Overvaluation (Earnings),,,,,,,,,,,,,
FCF/PRICE,18.05,16.85,15.28,7.45,10.32,9.05,10.5,13.02,8.18,11.68,19.52,12.38,14.16
P/E,-16.73,-45.17,591.75,327.69,34.9,70.84,56.13,60.62,48.29,57.84,49.43,68.76,53.92
Market cap,4.22,11.18,15.58,17.02,11.63,17.35,20.59,23.62,30.53,31.52,39.21,41.1,45.68
ROIC,-0.62,0.17,0.31,-3.01,63.55,16.79,1.59,0.59,0.52,0.3,0.49,0.55,0.47
Price,18.4,27.1,37.28,42.6,29.32,43.21,51.64,60.01,77.27,79.82,98.85,96.95,107.3
Outcome short,,0.47,0.38,0.14,-0.31,0.47,0.2,0.16,0.29,0.03,0.24,-0.02,0.11
Outcome long,,,1.03,0.57,-0.21,0.01,0.76,0.39,0.5,0.33,0.28,0.21,0.09
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,150%,211%,225%,190%,354%,583%,486%,546%,420%
Overvaluation (Earnings),,,,,,,,,,,,,
FCF/PRICE,36.58,40.28,64.17,40.09,92.55,54.74,57.62,86.05,75.74,57.62,90.51,50.14,42.93
P/E,31.86,56.13,87.69,82.71,34.42,65.94,71.15,126.35,"-2,787.44",675.92,-596.83,540.71,178.17
Market cap,18.15,19.61,16.34,38.54,21.95,59.73,81.18,78.76,113.89,183.04,144.31,318.34,370.81
ROIC,4.25,4.79,-40.32,-15.91,104.52,12.89,-38.2,10.41,2.05,1.15,0.63,1.79,1.78
Price,44.29,47.15,39.46,92.64,51.28,134.52,180,173.1,250.87,398.79,310.35,675.89,780.37
Outcome short,,0.06,-0.16,1.35,-0.45,1.62,0.34,-0.04,0.45,0.59,-0.22,1.18,0.15
Outcome long,,,-0.11,0.96,0.3,0.45,2.51,0.29,0.39,1.3,0.24,0.69,1.51
,,,,,,,,,,,,,
Overvaluation (FCF),132%,126%,140%,143%,68%,114%,177%,216%,224%,216%,231%,190%,131%
Overvaluation (Earnings),111%,110%,103%,82%,56%,113%,154%,176%,145%,145%,139%,113%,79%
FCF/PRICE,177.56,157.03,141.4,185.34,248.56,97.31,85.09,66.79,80.65,75.5,64.26,86.64,120.52
P/E,12.08,11.75,15.45,11.27,-1.41,17.1,19.72,19.3,15.75,16.35,17.16,15.34,11.48
Market cap,5.08,5.7,4.41,2.82,1.75,3.29,4.18,5.01,4.8,6.01,6.85,6.61,4.53
ROIC,-7.49,3.76,2.81,1.62,-0.36,-0.42,30.66,2.23,1.07,1.59,1.48,3.87,-3.67
Price,19.21,21.73,21.32,15.66,9.88,19.15,28.2,36.87,39.7,49.69,60.41,59.66,44.79
Outcome short,,0.13,-0.02,-0.27,-0.37,0.94,0.47,0.31,0.08,0.25,0.22,-0.01,-0.25
Outcome long,,,0.11,-0.28,-0.54,0.22,1.85,0.93,0.41,0.35,0.52,0.2,-0.26
,,,,,,,,,,,,,
Overvaluation (FCF),150%,172%,141%,133%,66%,90%,98%,96%,85%,104%,131%,119%,111%
Overvaluation (Earnings),147%,165%,133%,124%,58%,65%,61%,68%,66%,95%,131%,145%,146%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,18.85,20.32,16.33,15.78,8.85,5.9,8.19,9.14,7.45,11.27,13.98,14.87,16.95
Market cap,34.8,52.87,48.43,47.54,21,26.22,21.48,22.48,18.56,27.1,33.69,36.43,38.13
ROIC,0.11,0.14,0.69,16.75,-3.17,135.67,3.3,-60.79,0.68,0.99,2.33,3.98,4.01
Price,57.5,80.05,78.69,87.73,42.13,58.29,56.86,66.25,60.92,92.39,125.67,139.44,144.74
Outcome short,,0.39,-0.02,0.11,-0.52,0.38,-0.02,0.17,-0.08,0.52,0.36,0.11,0.04
Outcome long,,,0.37,0.1,-0.46,-0.34,0.35,0.14,0.07,0.39,1.06,0.51,0.15
,,,,,,,,,,,,,
Overvaluation (FCF),61%,93%,102%,138%,131%,133%,169%,172%,153%,171%,138%,111%,115%
Overvaluation (Earnings),92%,128%,117%,136%,105%,83%,101%,111%,121%,167%,156%,129%,137%
FCF/PRICE, -   , -   ,406.23,305.66,280.28,329.68,281.44,294.02,276.03,183.7,158.33,141.9,99.87
P/E,14.64,16.57,16.59,17.73,9.52,14.92,19.41,16.31,18.6,23.76,20.35,18.9,21.15
Market cap,7.56,11.55,10.59,14.51,12.32,10.21,15.29,15.2,17.29,25.23,26.55,24.88,29.24
ROIC,2.77,2.84,-0.19,-0.16,0.95,0.4,0.28,0.33,-6.28,-3.86,-8.31,-7.08,-5
Price,23.86,35.95,35.34,47.69,45.68,38.34,46.01,46.8,55.61,83.89,94.83,92.21,113.81
Outcome short,,0.51,-0.02,0.35,-0.04,-0.16,0.2,0.02,0.19,0.51,0.13,-0.03,0.23
Outcome long,,,0.48,0.33,0.29,-0.2,0.01,0.22,0.21,0.79,0.71,0.1,0.2
,,,,,,,,,,,,,
Overvaluation (FCF),128%,166%,213%,312%,178%,250%,205%,114%,87%,118%,281%,202%,
Overvaluation (Earnings),108%,106%,85%,122%,98%,158%,177%,94%,94%,98%,85%,57%,
FCF/PRICE,25.37,31.91,57.31,24.78,33.82,23.19,29.56,54.79,70.52,54.69,58.46,41.4,25.91
P/E,10.05,8.74,8.71,12.82,35.66,-118.59,14.09,7.9,15.96,15.63,-4.46,-0.73,-1.31
Market cap,16.56,22.62,22,35.8,24.94,34.71,45.59,34.79,30.74,34.01,23.6,16.81,23.84
ROIC,0.43,0.47,0.25,0.19,0.53,-1.2,0.23,0.22,0.24,0.27,1.02,0.15,0.18
Price,50.57,68.52,66.51,107.54,74.53,103.17,119.23,90.58,78.5,85.94,62.67,44.47,62.84
Outcome short,,0.35,-0.03,0.62,-0.31,0.38,0.16,-0.24,-0.13,0.09,-0.27,-0.29,0.41
Outcome long,,,0.32,0.57,0.12,-0.04,0.6,-0.12,-0.34,-0.05,-0.2,-0.48,0
,,,,,,,,,,,,,
Overvaluation (FCF),181%,178%,151%,226%,108%,131%,249%,560%,261%,236%,287%,195%,
Overvaluation (Earnings),104%,117%,76%,94%,52%,83%,164%,358%,224%,311%,333%,274%,
FCF/PRICE,61.49,50.72,385.06,79.68,143.61,61.26,54.02,64.18,53.75,71.9,124.05,86.06,59.01
P/E,10.19,9.67,4.25,8.13,5.58,-222.93,50.11,-14.35,15.68,50.2,-23.78,-3.69,-8.56
Market cap,15.54,21.97,20.15,30.74,17.7,30.75,37.79,38.04,37.19,39.95,41.79,24.69,35.63
ROIC,0.82,2.53,0.11,0.01,0.18,-0.16,0.53,-2.35,-0.77,-0.4,-0.44,1.54,1.88
Price,32.41,47.38,43.52,65.69,38.55,62.42,76.16,76.33,74.31,79.32,82.5,48.58,63.75
Outcome short,,0.46,-0.08,0.51,-0.41,0.62,0.22,0,-0.03,0.07,0.04,-0.41,0.31
Outcome long,,,0.34,0.39,-0.11,-0.05,0.98,0.22,-0.02,0.04,0.11,-0.39,-0.23
,,,,,,,,,,,,,
Overvaluation (FCF),136%,208%,297%,177%,208%,205%,187%,193%,377%,381%,220%,163%,125%
Overvaluation (Earnings),368%,287%,238%,119%,110%,103%,87%,86%,112%,137%,127%,170%,199%
FCF/PRICE,38.12,37.87,26.81,34.93,34.91,29.31,33.17,35.18,32.76,24.62,30.9,23.62,23.2
P/E,"1,644.52",19.3,19.48,15.26,24.23,16.15,12.54,14.06,21.05,26.11,20.06,48.09,48.98
Market cap,11.32,13.33,19.47,13.25,15.15,16.37,14.84,16.25,20.81,25.7,25.4,30.1,29.16
ROIC,2.15,1.48,0.55,0.78,-7.55,1.96,0.7,0.39,0.25,1.14,-2.49,-2.76,-21.05
Price,50.98,61.36,90.38,63.32,71.72,76.57,70.6,76.46,98.52,120.35,117.95,138.99,141.54
Outcome short,,0.2,0.47,-0.3,0.13,0.07,-0.08,0.08,0.29,0.22,-0.02,0.18,0.02
Outcome long,,,0.77,0.03,-0.21,0.21,-0.02,0,0.4,0.57,0.2,0.15,0.2
,,,,,,,,,,,,,
Overvaluation (FCF),135%,141%,172%,213%,92%,134%,143%,109%,136%,156%,171%,142%,155%
Overvaluation (Earnings),156%,150%,157%,173%,72%,126%,121%,98%,121%,146%,149%,128%,156%
FCF/PRICE,30.2,30.35,28.84,22.44,52.95,21.79,24.82,28.3,27.47,36.1,19.43,19.31,22.04
P/E,20.2,19.42,22.33,23.91,10.25,25.23,18.72,14.89,19.14,22.75,24.35,21.67,27.58
Market cap,3.23,4.03,5.5,8.29,4.22,8,9.27,7.41,10.34,14.11,16.67,16.09,21.18
ROIC,2.3,0.75,0.81,1.6,1.84,3.65,2.04,1.51,2.05,7.65,1.49,1.62,1.96
Price,9.19,11.07,15.52,23.19,11.99,23.09,26.39,22.7,32.35,44.59,53.81,52.23,68.67
Outcome short,,0.2,0.4,0.49,-0.48,0.93,0.14,-0.14,0.43,0.38,0.21,-0.03,0.31
Outcome long,,,0.69,1.09,-0.23,0,1.2,-0.02,0.23,0.96,0.66,0.17,0.28
,,,,,,,,,,,,,
Overvaluation (FCF),126%,113%,131%,,,,60%,49%,66%,101%,213%,123%,125%
Overvaluation (Earnings),142%,121%,100%,95%,25%,37%,218%,88%,164%,189%,442%,296%,310%
FCF/PRICE,85.8,102.59,98.45,84.22,277.72,144.26,146.13,298.56,294.01,246.67,148.48,226.76,267.9
P/E,16.36,16.39,9.06,9.61,-87.37,-10.17,49.76,12.21,37.43,-3.86,58.35,-24.71,-18.96
Market cap,21.24,19.97,20.21,23.47,7.23,12.19,12.21,7.15,7.19,8.84,14.91,10.04,9
ROIC,3.68,-13.01,0,-0.3,196.35,-7,-0.44,3.21,-17.3,-0.38,-0.46,1.04,12.6
Price,73.15,68.84,69.87,85.09,26.21,37.53,35.83,20.14,20.21,24.75,36.76,22.98,20.53
Outcome short,,-0.06,0.01,0.22,-0.69,0.43,-0.05,-0.44,0,0.22,0.49,-0.37,-0.11
Outcome long,,,-0.04,0.24,-0.62,-0.56,0.37,-0.46,-0.44,0.23,0.82,-0.07,-0.44
,,,,,,,,,,,,,
Overvaluation (FCF),209%,214%,284%,482%,327%,177%,129%,107%,82%,127%,120%,219%,153%
Overvaluation (Earnings),221%,197%,246%,331%,273%,221%,216%,151%,93%,125%,118%,213%,197%
FCF/PRICE,30.58,35.95,28.1,36.03,40.71,225.65,235.29,207.47,249.72,134.89,134.69,67.45,99.44
P/E,30.69,23.51,98.57,67.64,24.84,123.44,37.7,13.39,10.51,18.77,17.83,32.53,34.15
Market cap,2.17,3.09,3.82,5.37,8.05,13.89,14.72,13.96,11.81,12.55,14.55,28.43,27.66
ROIC,2.61,5.11,9.07,1.11,2.48,0.22,0.46,-4.12,17.69,-104.44,-35.41,0.95,1.24
Price,4.45,5.76,6.9,9.47,13.66,11.11,12.44,12.32,10.62,17.83,20.15,38.71,37.22
Outcome short,,0.29,0.2,0.37,0.44,-0.19,0.12,-0.01,-0.14,0.68,0.13,0.92,-0.04
Outcome long,,,0.55,0.64,0.98,0.17,-0.09,0.11,-0.15,0.45,0.9,1.17,0.85
,,,,,,,,,,,,,
Overvaluation (FCF),100%,119%,173%,,,,,,,,,,
Overvaluation (Earnings),147%,146%,212%,137%,85%,124%,206%,231%,213%,181%,223%,245%,159%
FCF/PRICE, -   , -   , -   ,4.58,8.64,4.71,3.46,3.09,3.11,4.39,3.31,3.1,4.13
P/E,27.38,22.04,38.03,21.49,11.72,42.54,54.37,26.82,31.39,42.53,31.36,33.42,23.39
Market cap,5.47,6.57,9.71,7.28,4.67,6.7,9.67,12.43,15.51,15.3,21.58,25.23,22.1
ROIC,-2.16,-1.42,-0.56,-1.18,-1.92,-2.12,-1.64,-1.2,-0.7,-0.15,-0.17,-1.07,-0.86
Price,75.3,89.25,130.05,94.14,60.58,82.11,112.55,130.6,135.59,118.23,163.39,184.13,160.9
Outcome short,,0.19,0.46,-0.28,-0.36,0.36,0.37,0.16,0.04,-0.13,0.38,0.13,-0.13
Outcome long,,,0.73,0.05,-0.53,-0.13,0.86,0.59,0.2,-0.09,0.21,0.56,-0.02
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,203%,186%,130%,142%,227%,207%,234%
Overvaluation (Earnings),,,,,,,163%,137%,122%,130%,287%,291%,395%
FCF/PRICE,,,,,,42.2,22.89,10.36,10.48,9.31,11.78,9.09,15.43
P/E,,,, -   , -   ,-75,14.6,15.42,14.68,20.74,87.12,25.39,-192.12
Market cap,,,,0,0,3.29,5.92,8.31,8.11,11.25,21.79,33.85,70.23
ROIC,,,,,,-0.72,-2.17,2.8,3.73,2.24,0.26,0.52,0.12
Price,-,-,-,0,0,15,24.68,33.77,33.03,45.43,86.25,123.13,176.75
Outcome short,,,,,,,0.65,0.37,-0.02,0.38,0.9,0.43,0.44
Outcome long,,,,,,,,1.25,0.34,0.35,1.61,1.71,1.05
,,,,,,,,,,,,,
Overvaluation (FCF),110%,107%,112%,99%,57%,62%,69%,54%,70%,122%,150%,188%,178%
Overvaluation (Earnings),103%,98%,109%,85%,54%,63%,73%,61%,83%,130%,126%,146%,142%
FCF/PRICE,23.13,27.6,25.01,46.62,62.88,51.18,43.26,57.43,59.41,30.96,30.71,23.29,28.67
P/E,21.57,24.46,18.26,17.31,12.14,-5.06,14.26,16.11,16.79,23.56,20.27,21.24,20.79
Market cap,6.62,6.11,7.46,5.23,3.48,3.84,4.48,3.05,3.49,4.83,4.73,5.72,6.38
ROIC,1.4,-106.4,-2.52,0.73,0.7,-1.52,-1.63,7.53,-2.96,-1.76,-2.82,-3.39,-4.39
Price,59.97,55.27,67.93,53.14,32.73,36.49,42.34,28.68,34.92,50.19,51.88,62.66,71.71
Outcome short,,-0.08,0.23,-0.22,-0.38,0.11,0.16,-0.32,0.22,0.44,0.03,0.21,0.14
Outcome long,,,0.13,-0.04,-0.52,-0.31,0.29,-0.21,-0.18,0.75,0.49,0.25,0.38
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,,,,,,,
Overvaluation (Earnings),,,,,,,100%,112%,119%,121%,136%,134%,154%
FCF/PRICE,,,,,52.91,27.1,30.62,46.74,26.79,29.24,23.28,25.66,25.93
P/E, -   , -   , -   , -   ,-5.93,-16.12,16.53,18.21,18.47,20.51,22.68,22.63,28.49
Market cap,0,0,0,0,3.34,3.91,4.43,5.6,6.57,7.54,9.57,10.65,13.24
ROIC,-0.9,0.03,-0.08,-0.06,-1.58,-1.5,-0.63,-0.94,-0.57,-0.65,-0.03,0.01,0.11
Price,0,0,0,0,20.88,22.41,25.29,31.86,37.13,42.26,53.3,59.75,74.36
Outcome short,,,,,,0.07,0.13,0.26,0.17,0.14,0.26,0.12,0.24
Outcome long,,,,,,,0.21,0.42,0.47,0.33,0.44,0.41,0.4
,,,,,,,,,,,,,
Overvaluation (FCF),130%,129%,115%,98%,35%,85%,97%,108%,121%,176%,156%,104%,107%
Overvaluation (Earnings),127%,120%,118%,94%,38%,94%,107%,104%,112%,153%,136%,96%,101%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,18.42,17.33,20.29,15.48,8,26.31,12.81,11.45,14.78,18.59,16.73,13.77,12.9
Market cap,61.65,63.86,72.74,60.24,21.52,48.3,51.38,54.91,63.52,96.54,95.18,67.39,66.69
ROIC,0.48,-0.29,-0.37,0.66,-10.5,-0.85,1.03,0.78,3.48,582.87,3.92,3.45,-4.54
Price,49.36,51.46,60.67,52.02,18.55,40.52,42.92,47.17,57.48,90.73,93.04,69.55,72.86
Outcome short,,0.04,0.18,-0.14,-0.64,1.18,0.06,0.1,0.22,0.58,0.03,-0.25,0.05
Outcome long,,,0.23,0.01,-0.69,-0.22,1.31,0.16,0.34,0.92,0.62,-0.23,-0.22
,,,,,,,,,,,,,
Overvaluation (FCF),121%,167%,155%,132%,89%,110%,137%,158%,228%,280%,368%,420%,334%
Overvaluation (Earnings),141%,158%,150%,118%,85%,103%,130%,160%,198%,233%,304%,332%,251%
FCF/PRICE,16.25,12.02,10.75,12.01,14.83,8.29,7.2,5.69,4.52,3.8,2.67,2.44,2.61
P/E,21.02,15.21,12.98,12.22,16.06,21.52,19.02,23.59,28.98,30.59,38.28,41.5,38.84
Market cap,1.11,1.53,1.85,1.75,1.36,1.63,1.91,2.68,3.63,5.31,8.44,12.03,11.35
ROIC,8.32,-6.1,-17.5,-1.57,-3.84,1.02,1.16,4.33,5.91,7.71,-17.87,0.96,1.03
Price,24.59,35.58,43.75,43.51,32.11,38.74,46.04,64.16,85.5,123.88,194.87,275.12,257.53
Outcome short,,0.45,0.23,-0.01,-0.26,0.21,0.19,0.39,0.33,0.45,0.57,0.41,-0.06
Outcome long,,,0.78,0.22,-0.27,-0.11,0.43,0.66,0.86,0.93,1.28,1.22,0.32
,,,,,,,,,,,,,
Overvaluation (FCF),124%,104%,123%,115%,107%,118%,139%,135%,134%,149%,173%,155%,144%
Overvaluation (Earnings),109%,90%,115%,118%,113%,132%,154%,149%,143%,149%,162%,140%,133%
FCF/PRICE,19.17,22.75,18.85,18.36,18.38,14.61,11.18,10.11,9.93,8.43,6.58,6.32,5.88
P/E,13.16,12.04,14.22,13.67,12.55,14.01,15.77,15.4,15.11,17.07,19.87,18.23,19.59
Market cap,7.23,6.42,7.87,8.18,7.48,9.46,12.31,13.39,14.4,17.4,21.95,21.6,23.03
ROIC,2.98,4.66,21.19,16.13,22.47,-25.7,-14.07,27.63,11.75,8.44,4.62,3.38,6.31
Price,94.5,90.3,121.29,137.23,147.25,209.78,307,361.64,419.94,538.84,715.99,741.8,797.96
Outcome short,,-0.04,0.34,0.13,0.07,0.42,0.46,0.18,0.16,0.28,0.33,0.04,0.08
Outcome long,,,0.28,0.52,0.21,0.53,1.08,0.72,0.37,0.49,0.7,0.38,0.11
,,,,,,,,,,,,,
Overvaluation (FCF),114%,136%,142%,109%,48%,58%,105%,120%,120%,173%,143%,130%,111%
Overvaluation (Earnings),201%,184%,213%,150%,69%,93%,115%,109%,102%,159%,132%,134%,129%
FCF/PRICE,446.13,400.43,334.32,360.6,721.19,607.48,542.37,562.7,596.89,377.21,436.35,348.65,323.17
P/E,22.51,21.95,31.17,16.56,11.63,29.42,14.67,13.74,14.75,22.9,17.61,19.43,22.8
Market cap,43.08,56.2,70.07,67.17,43.19,39.33,47.98,54.62,56.94,102.01,91.86,96.39,92.6
ROIC,-12.56,-2.39,-0.97,-2.44,2.8,-50.96,1.36,0.9,1.29,-9.24,-18.99,3.23,15.44
Price,51.77,70.24,88.84,87.46,42.67,54.13,65.26,73.35,75.36,136.49,129.98,144.59,150.04
Outcome short,,0.36,0.26,-0.02,-0.51,0.27,0.21,0.12,0.03,0.81,-0.05,0.11,0.04
Outcome long,,,0.72,0.25,-0.52,-0.38,0.53,0.36,0.15,0.86,0.72,0.06,0.15
,,,,,,,,,,,,,
Overvaluation (FCF),84%,61%,126%,104%,58%,21%,21%,9%,20%,26%,43%,43%,113%
Overvaluation (Earnings),110%,99%,102%,82%,39%,53%,119%,2354%,557%,307%,312%,182%,158%
FCF/PRICE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
P/E,12.73,11.42,11.63,12.54,26.07,-51.93,-36.05,556,46.44,17.3,49.69,12.85,16.56
Market cap,190.48,214.54,238.78,183.29,70.65,130.27,134.54,58.58,125.14,164.91,188.14,174.7,210.79
ROIC,0.02,0.01,-0.01,0.02,0.07,0.27,0.47,-2.89,-2.64,-5.81,-1.12,2.8,0.28
Price,46.99,46.15,53.39,41.26,14.08,15.06,13.34,5.56,11.61,15.57,17.89,16.83,20.86
Outcome short,,-0.02,0.16,-0.23,-0.66,0.07,-0.11,-0.58,1.09,0.34,0.15,-0.06,0.24
Outcome long,,,0.14,-0.11,-0.74,-0.63,-0.05,-0.63,-0.13,1.8,0.54,0.08,0.17
,,,,,,,,,,,,,
Overvaluation (FCF),111%,102%,98%,104%,87%,94%,75%,71%,99%,106%,116%,138%,202%
Overvaluation (Earnings),107%,117%,119%,133%,104%,95%,87%,80%,101%,99%,100%,100%,94%
FCF/PRICE,228.46,203.67,143.25,120.86,124.87,140.03,146.95,180.69,131.43,156.33,151.73,150.72,55.78
P/E,29.78,13.45,11.83,12.08,9.21,8.88,11.51,6.93,8.66,10.32,8.73,21.68,5.24
Market cap,11.59,12.78,16.39,20.01,18.05,19.16,15.97,15.08,19.78,20.52,21.6,20.89,25.41
ROIC,1.39,-2.03,-22.27,3.58,4.61,4.37,4.89,4.8,3.66,0.92,1.08,-0.4,-0.46
Price,18.76,20.45,25.2,31.54,29.11,31.88,27.5,26.88,36.21,37.78,39.82,38.15,46.72
Outcome short,,0.09,0.23,0.25,-0.08,0.1,-0.14,-0.02,0.35,0.04,0.05,-0.04,0.22
