Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,, -   ,0,,0,,
,,, -   ,0,,0,,
88%,,11.1,129.97,4.24,0.54,44.19,,
116%,,9.6,30.81,5.31,-7.25,55.46,0.26,
141%,,6.78,41.46,6.33,1.89,65.92,0.19,0.49
126%,,6.37,29.02,6.52,1.5,67.91,0.03,0.22
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,4.94,-4.64,0.44,-41.59,3.98,,
,,3.8,-6.67,0.73,35.37,6.51,0.64,
,,2.75,-9.73,1.43,-5.68,10.1,0.55,1.54
,,2.01,-29.54,2.84,-2.76,18.76,0.86,1.88
,,4.66,92.82,2.82,-2.08,18.1,-0.04,0.79
,179%,3.49,14.98,4.34,-0.46,24.41,0.35,0.3
,344%,3.44,77.46,7.37,0.79,40.28,0.65,1.23
,527%,3.19,78.57,13.26,4.42,71.5,0.78,1.93
,692%,3.84,73.23,18.25,1.04,93.74,0.31,1.33
,780%,4.38,104.63,26.17,1.86,132.88,0.42,0.86
,746%,3.28,56.76,36.83,3.68,185.03,0.39,0.97
,798%,3.77,284.7,43.04,0.14,190.75,0.03,0.44
,458%,7.02,72.46,26.65,0.09,118.83,-0.38,-0.36
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
159%,126%,107.91,22.41,26.29,1.03,16.36,,
142%,114%,140.08,17.93,24.2,2.21,17.39,0.06,
126%,104%,122.64,16.18,26.91,-18.31,19.42,0.12,0.19
78%,72%,228.16,18.44,17.18,6.3,12.91,-0.34,-0.26
95%,67%,158.97,-53.04,16.36,-7.03,12.2,-0.05,-0.37
102%,83%,233.84,17.64,16.4,-6.26,12.35,0.01,-0.04
92%,68%,226.79,8.5,16.09,-6.47,12.32,0,0.01
71%,82%,213.68,117.78,12.69,2.25,10.6,-0.14,-0.14
142%,172%,136.79,85.05,21.5,1.5,17.86,0.68,0.45
170%,267%,127.8,25.39,26.97,-5.17,22.09,0.24,1.08
136%,145%,226.48,14.97,19.45,-2.52,16.77,-0.24,-0.06
177%,199%,124.9,18.88,31.43,262.22,29.08,0.73,0.32
166%,160%,113.93,20.44,34.46,8.12,31.88,0.1,0.9
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
150%,170%,25.81,22.44,2.45,0.54,10.57,,
139%,169%,32.21,21.99,3,0.56,12.6,0.19,
128%,149%,33.99,18.62,3.38,0.94,14.15,0.12,0.34
148%,172%,30.78,22.1,5.03,0.93,20.82,0.47,0.65
91%,95%,33.32,13.14,3.22,0.69,13.43,-0.35,-0.05
99%,107%,24.96,20.07,4.13,1.24,17,0.27,-0.18
127%,139%,21.05,22.18,6.31,1.58,26.17,0.54,0.95
112%,126%,22.4,17.77,6.75,1.24,28.07,0.07,0.65
125%,135%,23.42,19.98,9.14,1.33,37.57,0.34,0.44
146%,159%,16.6,25.08,12.9,1.36,52.67,0.4,0.88
128%,136%,17.79,22.21,12.7,1.89,52.63,0,0.4
124%,124%,19.11,21.87,12.62,3.39,53.59,0.02,0.02
104%,104%,25.63,20.73,10.99,9.16,47.47,-0.11,-0.1
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
157%,204%,1.95,33.53,2.01,0.74,67.74,,
171%,206%,3.2,28.56,2.72,0.6,80.25,0.18,
171%,210%,2.74,28.11,3.11,1.55,105.13,0.31,0.55
148%,185%,2.69,25.82,3.51,0.99,117.46,0.12,0.46
39%,62%,5.01,"-1,397.33",1.72,2.29,41.92,-0.64,-0.6
61%,105%,3.37,48.8,3.08,19.68,67.35,0.61,-0.43
80%,195%,4.11,35.31,5.35,0.63,99.22,0.47,1.37
77%,177%,4.35,30.85,5.17,0.94,95.95,-0.03,0.42
90%,,2.79,39.68,7.02,2.67,130.15,0.36,0.31
140%,,2.37,33.11,11.69,2.94,216.88,0.67,1.26
113%,,3.81,26.5,11.84,3.28,212.24,-0.02,0.63
81%,135%,4.57,17.22,8.72,3.12,159.76,-0.25,-0.26
79%,110%,3.9,17.16,8.15,3.67,148.59,-0.07,-0.3
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,182%,64.8,35.44,80.83,6.2,64.15,,
162%,174%,45.59,26.91,96.52,4.5,78.86,0.23,
122%,128%,102.8,27.54,79.65,8.58,68.31,-0.13,0.06
80%,111%,133.05,16.47,50.48,14.33,46.44,-0.32,-0.41
91%,126%,84.61,15.32,60.46,8.98,57.75,0.24,-0.15
81%,110%,68.46,12.54,56.29,15.18,56.57,-0.02,0.22
75%,99%,119.67,11.46,51.17,-6.5,54.9,-0.03,-0.05
86%,107%,89.61,15.89,51.09,96.08,64.21,0.17,0.14
108%,127%,95.02,15.62,65.19,5.85,86.2,0.34,0.57
129%,146%,69.66,17.18,86.08,0.94,114.08,0.32,0.78
149%,169%,44,23.77,121.12,1.42,159.29,0.4,0.85
138%,145%,53.37,17.92,122.4,-2.93,162.33,0.02,0.42
115%,112%,72.49,14.53,108.19,-4.47,145.43,-0.1,-0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,0.04,0,,
95%,82%, -   ,17.67,10.25,0.19,41,,
106%,102%, -   ,21.46,13.16,0.19,54.5,0.33,
124%,106%, -   ,16.26,12.55,0.11,55.11,0.01,0.34
45%,43%, -   ,-146,5.06,-0.34,23.36,-0.58,-0.57
68%,76%, -   ,13.16,9.9,0.21,38.82,0.66,-0.3
82%,103%, -   ,13.77,14.2,0.06,57.55,0.48,1.46
70%,84%, -   ,10.96,11.02,0.12,49.64,-0.14,0.28
84%,97%, -   ,13.56,12.77,1.43,62.63,0.26,0.09
146%,152%, -   ,17.86,22.1,0.37,115.05,0.84,1.32
144%,141%, -   ,15.93,24.22,0.35,132.25,0.15,1.11
101%,100%, -   ,12.55,18.2,8.05,106.42,-0.2,-0.08
109%,106%, -   ,15.55,18.09,-1.35,114.46,0.08,-0.13
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
126%,,18.05,-16.73,4.22,-0.62,18.4,,
152%,,16.85,-45.17,11.18,0.17,27.1,0.47,
173%,,15.28,591.75,15.58,0.31,37.28,0.38,1.03
176%,,7.45,327.69,17.02,-3.01,42.6,0.14,0.57
108%,,10.32,34.9,11.63,63.55,29.32,-0.31,-0.21
144%,,9.05,70.84,17.35,16.79,43.21,0.47,0.01
156%,,10.5,56.13,20.59,1.59,51.64,0.2,0.76
169%,,13.02,60.62,23.62,0.59,60.01,0.16,0.39
192%,,8.18,48.29,30.53,0.52,77.27,0.29,0.5
181%,,11.68,57.84,31.52,0.3,79.82,0.03,0.33
191%,,19.52,49.43,39.21,0.49,98.85,0.24,0.28
159%,,12.38,68.76,41.1,0.55,96.95,-0.02,0.21
139%,,14.16,53.92,45.68,0.47,107.3,0.11,0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,36.58,31.86,18.15,4.25,44.29,,
,,40.28,56.13,19.61,4.79,47.15,0.06,
,,64.17,87.69,16.34,-40.32,39.46,-0.16,-0.11
,,40.09,82.71,38.54,-15.91,92.64,1.35,0.96
150%,,92.55,34.42,21.95,104.52,51.28,-0.45,0.3
211%,,54.74,65.94,59.73,12.89,134.52,1.62,0.45
225%,,57.62,71.15,81.18,-38.2,180,0.34,2.51
190%,,86.05,126.35,78.76,10.41,173.1,-0.04,0.29
354%,,75.74,"-2,787.44",113.89,2.05,250.87,0.45,0.39
583%,,57.62,675.92,183.04,1.15,398.79,0.59,1.3
486%,,90.51,-596.83,144.31,0.63,310.35,-0.22,0.24
546%,,50.14,540.71,318.34,1.79,675.89,1.18,0.69
420%,,42.93,178.17,370.81,1.78,780.37,0.15,1.51
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
132%,111%,177.56,12.08,5.08,-7.49,19.21,,
126%,110%,157.03,11.75,5.7,3.76,21.73,0.13,
140%,103%,141.4,15.45,4.41,2.81,21.32,-0.02,0.11
143%,82%,185.34,11.27,2.82,1.62,15.66,-0.27,-0.28
68%,56%,248.56,-1.41,1.75,-0.36,9.88,-0.37,-0.54
114%,113%,97.31,17.1,3.29,-0.42,19.15,0.94,0.22
177%,154%,85.09,19.72,4.18,30.66,28.2,0.47,1.85
216%,176%,66.79,19.3,5.01,2.23,36.87,0.31,0.93
224%,145%,80.65,15.75,4.8,1.07,39.7,0.08,0.41
216%,145%,75.5,16.35,6.01,1.59,49.69,0.25,0.35
231%,139%,64.26,17.16,6.85,1.48,60.41,0.22,0.52
190%,113%,86.64,15.34,6.61,3.87,59.66,-0.01,0.2
131%,79%,120.52,11.48,4.53,-3.67,44.79,-0.25,-0.26
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
150%,147%, -   ,18.85,34.8,0.11,57.5,,
172%,165%, -   ,20.32,52.87,0.14,80.05,0.39,
141%,133%, -   ,16.33,48.43,0.69,78.69,-0.02,0.37
133%,124%, -   ,15.78,47.54,16.75,87.73,0.11,0.1
66%,58%, -   ,8.85,21,-3.17,42.13,-0.52,-0.46
90%,65%, -   ,5.9,26.22,135.67,58.29,0.38,-0.34
98%,61%, -   ,8.19,21.48,3.3,56.86,-0.02,0.35
96%,68%, -   ,9.14,22.48,-60.79,66.25,0.17,0.14
85%,66%, -   ,7.45,18.56,0.68,60.92,-0.08,0.07
104%,95%, -   ,11.27,27.1,0.99,92.39,0.52,0.39
131%,131%, -   ,13.98,33.69,2.33,125.67,0.36,1.06
119%,145%, -   ,14.87,36.43,3.98,139.44,0.11,0.51
111%,146%, -   ,16.95,38.13,4.01,144.74,0.04,0.15
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
61%,92%, -   ,14.64,7.56,2.77,23.86,,
93%,128%, -   ,16.57,11.55,2.84,35.95,0.51,
102%,117%,406.23,16.59,10.59,-0.19,35.34,-0.02,0.48
138%,136%,305.66,17.73,14.51,-0.16,47.69,0.35,0.33
131%,105%,280.28,9.52,12.32,0.95,45.68,-0.04,0.29
133%,83%,329.68,14.92,10.21,0.4,38.34,-0.16,-0.2
169%,101%,281.44,19.41,15.29,0.28,46.01,0.2,0.01
172%,111%,294.02,16.31,15.2,0.33,46.8,0.02,0.22
153%,121%,276.03,18.6,17.29,-6.28,55.61,0.19,0.21
171%,167%,183.7,23.76,25.23,-3.86,83.89,0.51,0.79
138%,156%,158.33,20.35,26.55,-8.31,94.83,0.13,0.71
111%,129%,141.9,18.9,24.88,-7.08,92.21,-0.03,0.1
115%,137%,99.87,21.15,29.24,-5,113.81,0.23,0.2
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
128%,108%,25.37,10.05,16.56,0.43,50.57,,
166%,106%,31.91,8.74,22.62,0.47,68.52,0.35,
213%,85%,57.31,8.71,22,0.25,66.51,-0.03,0.32
312%,122%,24.78,12.82,35.8,0.19,107.54,0.62,0.57
178%,98%,33.82,35.66,24.94,0.53,74.53,-0.31,0.12
250%,158%,23.19,-118.59,34.71,-1.2,103.17,0.38,-0.04
205%,177%,29.56,14.09,45.59,0.23,119.23,0.16,0.6
114%,94%,54.79,7.9,34.79,0.22,90.58,-0.24,-0.12
87%,94%,70.52,15.96,30.74,0.24,78.5,-0.13,-0.34
118%,98%,54.69,15.63,34.01,0.27,85.94,0.09,-0.05
281%,85%,58.46,-4.46,23.6,1.02,62.67,-0.27,-0.2
202%,57%,41.4,-0.73,16.81,0.15,44.47,-0.29,-0.48
,,25.91,-1.31,23.84,0.18,62.84,0.41,0
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
181%,104%,61.49,10.19,15.54,0.82,32.41,,
178%,117%,50.72,9.67,21.97,2.53,47.38,0.46,
151%,76%,385.06,4.25,20.15,0.11,43.52,-0.08,0.34
226%,94%,79.68,8.13,30.74,0.01,65.69,0.51,0.39
108%,52%,143.61,5.58,17.7,0.18,38.55,-0.41,-0.11
131%,83%,61.26,-222.93,30.75,-0.16,62.42,0.62,-0.05
249%,164%,54.02,50.11,37.79,0.53,76.16,0.22,0.98
560%,358%,64.18,-14.35,38.04,-2.35,76.33,0,0.22
261%,224%,53.75,15.68,37.19,-0.77,74.31,-0.03,-0.02
236%,311%,71.9,50.2,39.95,-0.4,79.32,0.07,0.04
287%,333%,124.05,-23.78,41.79,-0.44,82.5,0.04,0.11
195%,274%,86.06,-3.69,24.69,1.54,48.58,-0.41,-0.39
,,59.01,-8.56,35.63,1.88,63.75,0.31,-0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
136%,368%,38.12,"1,644.52",11.32,2.15,50.98,,
208%,287%,37.87,19.3,13.33,1.48,61.36,0.2,
297%,238%,26.81,19.48,19.47,0.55,90.38,0.47,0.77
177%,119%,34.93,15.26,13.25,0.78,63.32,-0.3,0.03
208%,110%,34.91,24.23,15.15,-7.55,71.72,0.13,-0.21
205%,103%,29.31,16.15,16.37,1.96,76.57,0.07,0.21
187%,87%,33.17,12.54,14.84,0.7,70.6,-0.08,-0.02
193%,86%,35.18,14.06,16.25,0.39,76.46,0.08,0
377%,112%,32.76,21.05,20.81,0.25,98.52,0.29,0.4
381%,137%,24.62,26.11,25.7,1.14,120.35,0.22,0.57
220%,127%,30.9,20.06,25.4,-2.49,117.95,-0.02,0.2
163%,170%,23.62,48.09,30.1,-2.76,138.99,0.18,0.15
125%,199%,23.2,48.98,29.16,-21.05,141.54,0.02,0.2
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
135%,156%,30.2,20.2,3.23,2.3,9.19,,
141%,150%,30.35,19.42,4.03,0.75,11.07,0.2,
172%,157%,28.84,22.33,5.5,0.81,15.52,0.4,0.69
213%,173%,22.44,23.91,8.29,1.6,23.19,0.49,1.09
92%,72%,52.95,10.25,4.22,1.84,11.99,-0.48,-0.23
134%,126%,21.79,25.23,8,3.65,23.09,0.93,0
143%,121%,24.82,18.72,9.27,2.04,26.39,0.14,1.2
109%,98%,28.3,14.89,7.41,1.51,22.7,-0.14,-0.02
136%,121%,27.47,19.14,10.34,2.05,32.35,0.43,0.23
156%,146%,36.1,22.75,14.11,7.65,44.59,0.38,0.96
171%,149%,19.43,24.35,16.67,1.49,53.81,0.21,0.66
142%,128%,19.31,21.67,16.09,1.62,52.23,-0.03,0.17
155%,156%,22.04,27.58,21.18,1.96,68.67,0.31,0.28
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
126%,142%,85.8,16.36,21.24,3.68,73.15,,
113%,121%,102.59,16.39,19.97,-13.01,68.84,-0.06,
131%,100%,98.45,9.06,20.21,0,69.87,0.01,-0.04
,95%,84.22,9.61,23.47,-0.3,85.09,0.22,0.24
,25%,277.72,-87.37,7.23,196.35,26.21,-0.69,-0.62
,37%,144.26,-10.17,12.19,-7,37.53,0.43,-0.56
60%,218%,146.13,49.76,12.21,-0.44,35.83,-0.05,0.37
49%,88%,298.56,12.21,7.15,3.21,20.14,-0.44,-0.46
66%,164%,294.01,37.43,7.19,-17.3,20.21,0,-0.44
101%,189%,246.67,-3.86,8.84,-0.38,24.75,0.22,0.23
213%,442%,148.48,58.35,14.91,-0.46,36.76,0.49,0.82
123%,296%,226.76,-24.71,10.04,1.04,22.98,-0.37,-0.07
125%,310%,267.9,-18.96,9,12.6,20.53,-0.11,-0.44
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
209%,221%,30.58,30.69,2.17,2.61,4.45,,
214%,197%,35.95,23.51,3.09,5.11,5.76,0.29,
284%,246%,28.1,98.57,3.82,9.07,6.9,0.2,0.55
482%,331%,36.03,67.64,5.37,1.11,9.47,0.37,0.64
327%,273%,40.71,24.84,8.05,2.48,13.66,0.44,0.98
177%,221%,225.65,123.44,13.89,0.22,11.11,-0.19,0.17
129%,216%,235.29,37.7,14.72,0.46,12.44,0.12,-0.09
107%,151%,207.47,13.39,13.96,-4.12,12.32,-0.01,0.11
82%,93%,249.72,10.51,11.81,17.69,10.62,-0.14,-0.15
127%,125%,134.89,18.77,12.55,-104.44,17.83,0.68,0.45
120%,118%,134.69,17.83,14.55,-35.41,20.15,0.13,0.9
219%,213%,67.45,32.53,28.43,0.95,38.71,0.92,1.17
153%,197%,99.44,34.15,27.66,1.24,37.22,-0.04,0.85
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
100%,147%, -   ,27.38,5.47,-2.16,75.3,,
119%,146%, -   ,22.04,6.57,-1.42,89.25,0.19,
173%,212%, -   ,38.03,9.71,-0.56,130.05,0.46,0.73
,137%,4.58,21.49,7.28,-1.18,94.14,-0.28,0.05
,85%,8.64,11.72,4.67,-1.92,60.58,-0.36,-0.53
,124%,4.71,42.54,6.7,-2.12,82.11,0.36,-0.13
,206%,3.46,54.37,9.67,-1.64,112.55,0.37,0.86
,231%,3.09,26.82,12.43,-1.2,130.6,0.16,0.59
,213%,3.11,31.39,15.51,-0.7,135.59,0.04,0.2
,181%,4.39,42.53,15.3,-0.15,118.23,-0.13,-0.09
,223%,3.31,31.36,21.58,-0.17,163.39,0.38,0.21
,245%,3.1,33.42,25.23,-1.07,184.13,0.13,0.56
,159%,4.13,23.39,22.1,-0.86,160.9,-0.13,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,, -   ,0,,0,,
,,, -   ,0,,0,,
,,42.2,-75,3.29,-0.72,15,,
203%,163%,22.89,14.6,5.92,-2.17,24.68,0.65,
186%,137%,10.36,15.42,8.31,2.8,33.77,0.37,1.25
130%,122%,10.48,14.68,8.11,3.73,33.03,-0.02,0.34
142%,130%,9.31,20.74,11.25,2.24,45.43,0.38,0.35
227%,287%,11.78,87.12,21.79,0.26,86.25,0.9,1.61
207%,291%,9.09,25.39,33.85,0.52,123.13,0.43,1.71
234%,395%,15.43,-192.12,70.23,0.12,176.75,0.44,1.05
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
110%,103%,23.13,21.57,6.62,1.4,59.97,,
107%,98%,27.6,24.46,6.11,-106.4,55.27,-0.08,
112%,109%,25.01,18.26,7.46,-2.52,67.93,0.23,0.13
99%,85%,46.62,17.31,5.23,0.73,53.14,-0.22,-0.04
57%,54%,62.88,12.14,3.48,0.7,32.73,-0.38,-0.52
62%,63%,51.18,-5.06,3.84,-1.52,36.49,0.11,-0.31
69%,73%,43.26,14.26,4.48,-1.63,42.34,0.16,0.29
54%,61%,57.43,16.11,3.05,7.53,28.68,-0.32,-0.21
70%,83%,59.41,16.79,3.49,-2.96,34.92,0.22,-0.18
122%,130%,30.96,23.56,4.83,-1.76,50.19,0.44,0.75
150%,126%,30.71,20.27,4.73,-2.82,51.88,0.03,0.49
188%,146%,23.29,21.24,5.72,-3.39,62.66,0.21,0.25
178%,142%,28.67,20.79,6.38,-4.39,71.71,0.14,0.38
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,-0.9,0,,
,,, -   ,0,0.03,0,,
,,, -   ,0,-0.08,0,,
,,, -   ,0,-0.06,0,,
,,52.91,-5.93,3.34,-1.58,20.88,,
,,27.1,-16.12,3.91,-1.5,22.41,0.07,
,100%,30.62,16.53,4.43,-0.63,25.29,0.13,0.21
,112%,46.74,18.21,5.6,-0.94,31.86,0.26,0.42
,119%,26.79,18.47,6.57,-0.57,37.13,0.17,0.47
,121%,29.24,20.51,7.54,-0.65,42.26,0.14,0.33
,136%,23.28,22.68,9.57,-0.03,53.3,0.26,0.44
,134%,25.66,22.63,10.65,0.01,59.75,0.12,0.41
,154%,25.93,28.49,13.24,0.11,74.36,0.24,0.4
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
130%,127%, -   ,18.42,61.65,0.48,49.36,,
129%,120%, -   ,17.33,63.86,-0.29,51.46,0.04,
115%,118%, -   ,20.29,72.74,-0.37,60.67,0.18,0.23
98%,94%, -   ,15.48,60.24,0.66,52.02,-0.14,0.01
35%,38%, -   ,8,21.52,-10.5,18.55,-0.64,-0.69
85%,94%, -   ,26.31,48.3,-0.85,40.52,1.18,-0.22
97%,107%, -   ,12.81,51.38,1.03,42.92,0.06,1.31
108%,104%, -   ,11.45,54.91,0.78,47.17,0.1,0.16
121%,112%, -   ,14.78,63.52,3.48,57.48,0.22,0.34
176%,153%, -   ,18.59,96.54,582.87,90.73,0.58,0.92
156%,136%, -   ,16.73,95.18,3.92,93.04,0.03,0.62
104%,96%, -   ,13.77,67.39,3.45,69.55,-0.25,-0.23
107%,101%, -   ,12.9,66.69,-4.54,72.86,0.05,-0.22
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
121%,141%,16.25,21.02,1.11,8.32,24.59,,
167%,158%,12.02,15.21,1.53,-6.1,35.58,0.45,
155%,150%,10.75,12.98,1.85,-17.5,43.75,0.23,0.78
132%,118%,12.01,12.22,1.75,-1.57,43.51,-0.01,0.22
89%,85%,14.83,16.06,1.36,-3.84,32.11,-0.26,-0.27
110%,103%,8.29,21.52,1.63,1.02,38.74,0.21,-0.11
137%,130%,7.2,19.02,1.91,1.16,46.04,0.19,0.43
158%,160%,5.69,23.59,2.68,4.33,64.16,0.39,0.66
228%,198%,4.52,28.98,3.63,5.91,85.5,0.33,0.86
280%,233%,3.8,30.59,5.31,7.71,123.88,0.45,0.93
368%,304%,2.67,38.28,8.44,-17.87,194.87,0.57,1.28
420%,332%,2.44,41.5,12.03,0.96,275.12,0.41,1.22
334%,251%,2.61,38.84,11.35,1.03,257.53,-0.06,0.32
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
124%,109%,19.17,13.16,7.23,2.98,94.5,,
104%,90%,22.75,12.04,6.42,4.66,90.3,-0.04,
123%,115%,18.85,14.22,7.87,21.19,121.29,0.34,0.28
115%,118%,18.36,13.67,8.18,16.13,137.23,0.13,0.52
107%,113%,18.38,12.55,7.48,22.47,147.25,0.07,0.21
118%,132%,14.61,14.01,9.46,-25.7,209.78,0.42,0.53
139%,154%,11.18,15.77,12.31,-14.07,307,0.46,1.08
135%,149%,10.11,15.4,13.39,27.63,361.64,0.18,0.72
134%,143%,9.93,15.11,14.4,11.75,419.94,0.16,0.37
149%,149%,8.43,17.07,17.4,8.44,538.84,0.28,0.49
173%,162%,6.58,19.87,21.95,4.62,715.99,0.33,0.7
155%,140%,6.32,18.23,21.6,3.38,741.8,0.04,0.38
144%,133%,5.88,19.59,23.03,6.31,797.96,0.08,0.11
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
114%,201%,446.13,22.51,43.08,-12.56,51.77,,
136%,184%,400.43,21.95,56.2,-2.39,70.24,0.36,
142%,213%,334.32,31.17,70.07,-0.97,88.84,0.26,0.72
109%,150%,360.6,16.56,67.17,-2.44,87.46,-0.02,0.25
48%,69%,721.19,11.63,43.19,2.8,42.67,-0.51,-0.52
58%,93%,607.48,29.42,39.33,-50.96,54.13,0.27,-0.38
105%,115%,542.37,14.67,47.98,1.36,65.26,0.21,0.53
120%,109%,562.7,13.74,54.62,0.9,73.35,0.12,0.36
120%,102%,596.89,14.75,56.94,1.29,75.36,0.03,0.15
173%,159%,377.21,22.9,102.01,-9.24,136.49,0.81,0.86
143%,132%,436.35,17.61,91.86,-18.99,129.98,-0.05,0.72
130%,134%,348.65,19.43,96.39,3.23,144.59,0.11,0.06
111%,129%,323.17,22.8,92.6,15.44,150.04,0.04,0.15
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
84%,110%, -   ,12.73,190.48,0.02,46.99,,
61%,99%, -   ,11.42,214.54,0.01,46.15,-0.02,
126%,102%, -   ,11.63,238.78,-0.01,53.39,0.16,0.14
104%,82%, -   ,12.54,183.29,0.02,41.26,-0.23,-0.11
58%,39%, -   ,26.07,70.65,0.07,14.08,-0.66,-0.74
21%,53%, -   ,-51.93,130.27,0.27,15.06,0.07,-0.63
21%,119%, -   ,-36.05,134.54,0.47,13.34,-0.11,-0.05
9%,2354%, -   ,556,58.58,-2.89,5.56,-0.58,-0.63
20%,557%, -   ,46.44,125.14,-2.64,11.61,1.09,-0.13
26%,307%, -   ,17.3,164.91,-5.81,15.57,0.34,1.8
43%,312%, -   ,49.69,188.14,-1.12,17.89,0.15,0.54
43%,182%, -   ,12.85,174.7,2.8,16.83,-0.06,0.08
113%,158%, -   ,16.56,210.79,0.28,20.86,0.24,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
111%,107%,228.46,29.78,11.59,1.39,18.76,,
102%,117%,203.67,13.45,12.78,-2.03,20.45,0.09,
98%,119%,143.25,11.83,16.39,-22.27,25.2,0.23,0.34
104%,133%,120.86,12.08,20.01,3.58,31.54,0.25,0.54
87%,104%,124.87,9.21,18.05,4.61,29.11,-0.08,0.16
94%,95%,140.03,8.88,19.16,4.37,31.88,0.1,0.01
75%,87%,146.95,11.51,15.97,4.89,27.5,-0.14,-0.06
71%,80%,180.69,6.93,15.08,4.8,26.88,-0.02,-0.16
99%,101%,131.43,8.66,19.78,3.66,36.21,0.35,0.32
106%,99%,156.33,10.32,20.52,0.92,37.78,0.04,0.41
116%,100%,151.73,8.73,21.6,1.08,39.82,0.05,0.1
138%,100%,150.72,21.68,20.89,-0.4,38.15,-0.04,0.01
202%,94%,55.78,5.24,25.41,-0.46,46.72,0.22,0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,140%,23.28,22.74,11.03,1.96,37.52,,
113%,119%,27.46,18.77,10.77,2.54,36.04,-0.04,
128%,114%,28.71,19.09,11.37,3.31,39.89,0.11,0.06
96%,80%,35.78,13.5,7.34,1.15,28.34,-0.29,-0.21
90%,64%,44.74,12.99,5.51,1.12,21.3,-0.25,-0.47
141%,118%,27.63,18.09,10.94,-10.51,41.61,0.95,0.47
130%,122%,27.47,15.68,12.12,-17.31,48.15,0.16,1.26
125%,123%,22.42,14.71,14.07,16.82,59.74,0.24,0.44
104%,99%,28.81,12.45,12.92,2.4,56.75,-0.05,0.18
106%,102%,27.13,14.16,14.47,2.79,67.82,0.2,0.14
109%,107%,26.02,14.73,13,13.7,74.66,0.1,0.32
75%,68%,38.94,9.4,7.51,7.03,47.95,-0.36,-0.29
74%,68%,43.89,9.33,6.92,8.55,45.52,-0.05,-0.39
